Ticker,Date,Open,High,Low,Close,Adj Close,Volume
SNAP,2/22/2022,37.75,38.470001,36.369999,36.869999,36.869999,25433100
SNAP,2/23/2022,37.189999,38.150002,36.16,36.98,36.98,24429900
SNAP,2/24/2022,34.950001,39.049999,34.950001,38.830002,38.830002,26703600
SNAP,2/25/2022,38.84,39.564999,38.099998,39.150002,39.150002,19173500
SNAP,2/28/2022,39.490002,40.959999,38.84,39.939999,39.939999,23393000
SNAP,3/1/2022,39.810001,41.32,37.459999,37.84,37.84,28341900
SNAP,3/2/2022,38.119999,38.119999,35.75,37.369999,37.369999,30985500
SNAP,3/3/2022,37.299999,37.419998,35.009998,35.66,35.66,23087700
SNAP,3/4/2022,36.389999,36.720001,32.889999,33.09,33.09,22212700
SNAP,3/7/2022,33.150002,33.34,30.190001,30.219999,30.219999,32356700
SNAP,3/8/2022,30.01,32.720001,29.58,31.219999,31.219999,28109600
SNAP,3/9/2022,32,34.23,31.780001,33.68,33.68,26986400
SNAP,3/10/2022,32.75,32.759998,31.059999,31.74,31.74,21145700
SNAP,3/11/2022,32.380001,32.41,29.745001,30.049999,30.049999,23181900
SNAP,3/14/2022,29.530001,30.139999,27.67,28,28,32917800
SNAP,3/15/2022,28.85,30.158001,28.576,29.58,29.58,38242700
SNAP,3/16/2022,30.860001,32.619999,30.23,32.560001,32.560001,34041900
SNAP,3/17/2022,31.17,34.32,30.92,33.970001,33.970001,25439800
SNAP,3/18/2022,33.209999,36.029999,33.02,36,36,28400200
SNAP,3/21/2022,35.490002,35.77,34.200001,35.169998,35.169998,19114700
SNAP,3/22/2022,35.200001,36.919998,34.970001,36.240002,36.240002,24395100
SNAP,3/23/2022,35.689999,37.189999,35.119999,35.880001,35.880001,16911400
SNAP,3/24/2022,36.209999,37.07,35.18,37.049999,37.049999,16601200
SNAP,3/25/2022,37.049999,37.25,34.75,35.400002,35.400002,22761600
SNAP,3/28/2022,35.209999,36.619999,34.860001,36.23,36.23,15152400
SNAP,3/29/2022,36.73,38.27,36.330002,37.869999,37.869999,18989200
SNAP,3/30/2022,37.549999,38.299999,36.5,36.84,36.84,16516200
SNAP,3/31/2022,36.75,36.869999,35.764999,35.990002,35.990002,15777700
SNAP,4/1/2022,36.200001,38.599998,36.200001,37.389999,37.389999,25281500
SNAP,4/4/2022,38.25,39.57,37.369999,39.34,39.34,25402800
SNAP,4/5/2022,39.5,39.799999,37.82,38.25,38.25,22261200
SNAP,4/6/2022,37.369999,37.740002,35.639999,36.470001,36.470001,21554000
SNAP,4/7/2022,36.389999,37.299999,34.580002,36.25,36.25,21490400
SNAP,4/8/2022,35.880001,36.830002,35.41,35.669998,35.669998,21718400
SNAP,4/11/2022,34.650002,35.75,34.053001,34.400002,34.400002,20890400
SNAP,4/12/2022,34.720001,35.950001,33.189999,33.57,33.57,19538500
SNAP,4/13/2022,33.66,34.919998,33.34,34.68,34.68,18160800
SNAP,4/14/2022,35.349998,35.389999,33.169998,33.189999,33.189999,17741900
SNAP,4/18/2022,33.189999,33.349998,31.6,32.639999,32.639999,22468100
SNAP,4/19/2022,32.369999,34.240002,32.32,33.630001,33.630001,29558200
SNAP,4/20/2022,32.93,33.18,30.700001,30.76,30.76,38448300
SNAP,4/21/2022,31.365,31.75,28.754999,29.42,29.42,69311500
SNAP,4/22/2022,28.67,31.209999,28.559999,29.76,29.76,77506100
SNAP,4/25/2022,29.280001,30.790001,28.91,29.91,29.91,42647800
SNAP,4/26/2022,29.52,29.719999,28.15,28.690001,28.690001,34701800
SNAP,4/27/2022,27.969999,28.99,26.559999,27.09,27.09,40794900
SNAP,4/28/2022,27.91,28.959999,26.440001,28.809999,28.809999,44665200
SNAP,4/29/2022,29.07,30.370001,28.4,28.459999,28.459999,39033200
SNAP,5/2/2022,28.26,29.540001,28.059999,29.52,29.52,23474700
SNAP,5/3/2022,29.41,29.73,28.475,28.93,28.93,24795100
SNAP,5/4/2022,28.85,30.190001,27.195,30.16,30.16,30175400
SNAP,5/5/2022,29.65,29.65,26.940001,27.27,27.27,27859000
SNAP,5/6/2022,27.110001,27.200001,24.809999,24.92,24.92,31983200
SNAP,5/9/2022,24.98,25.120001,23.18,23.389999,23.389999,31604500
SNAP,5/10/2022,24.01,24.09,22,22.889999,22.889999,36436100
SNAP,5/11/2022,22.809999,23.875,21.700001,21.84,21.84,35183400
SNAP,5/12/2022,21.540001,23.795,20.950001,22.77,22.77,37016200
SNAP,5/13/2022,23.32,24.799999,23.200001,24.75,24.75,35684700
SNAP,5/16/2022,24.290001,24.700001,23.34,23.42,23.42,25171900
SNAP,5/17/2022,24.084999,24.705,23.33,24.540001,24.540001,28441000
SNAP,5/18/2022,24.049999,24.754,22.645,22.73,22.73,29460400
SNAP,5/19/2022,22.73,23.74,22.280001,23.200001,23.200001,30700800
SNAP,5/20/2022,23.59,24.155001,22.295,23.26,23.26,29598700
SNAP,5/23/2022,23.309999,23.309999,21.709999,22.469999,22.469999,43386300
SNAP,5/24/2022,14.49,14.57,12.55,12.79,12.79,286479900
SNAP,5/25/2022,12.91,14.57,12.86,14.16,14.16,162922300
SNAP,5/26/2022,13.75,14.94,13.63,14.81,14.81,80386400
SNAP,5/27/2022,14.85,15.635,14.61,15.58,15.58,66159100
SNAP,5/31/2022,15.37,15.42,14.09,14.11,14.11,98324800
SNAP,6/1/2022,14.11,14.71,13.48,13.93,13.93,80420400
SNAP,6/2/2022,13.54,15.12,13.54,14.9,14.9,58591000
SNAP,6/3/2022,14.59,14.87,14.2,14.49,14.49,34347400
SNAP,6/6/2022,14.61,15.4,13.88,15.15,15.15,64278200
SNAP,6/7/2022,14.81,15.48,14.702,15.28,15.28,36646900
SNAP,6/8/2022,15.4,15.87,15.14,15.17,15.17,36326100
SNAP,6/9/2022,15.26,15.26,14.06,14.1,14.1,36895100
SNAP,6/10/2022,13.83,13.97,13.15,13.28,13.28,42426800
SNAP,6/13/2022,12.84,13.02,11.92,12.02,12.02,43722300
SNAP,6/14/2022,12.08,12.52,11.9,11.91,11.91,40211400
SNAP,6/15/2022,11.98,13.43,11.88,13.2,13.2,59075900
SNAP,6/16/2022,12.65,12.781,12.14,12.22,12.22,38525000
SNAP,6/17/2022,12.32,12.62,12.03,12.42,12.42,48608000
SNAP,6/21/2022,12.47,13.24,12.32,12.85,12.85,37130600
SNAP,6/22/2022,12.63,13.49,12.58,13.08,13.08,31227400
SNAP,6/23/2022,13.16,14,13.03,13.94,13.94,32057800
